,chargerId,serialNumber,gpsLat,gpsLong,numberStacks,sessionLiveViewEnabled,doorContactSwitch_encoded,deadManSwitch_encoded,simActivated_encoded,isFavourite_encoded,AvailableSurroundingChargers_Count
0,20800,23BZ1509B,45.0413896291706,11.710672816333831,4,False,1,0,1,0,36
1,17737,22BZ5330B,42.02954808589307,11.962168151083445,4,False,1,0,1,0,25
2,83776,24BZ1716B,43.8127,11.154,4,True,1,0,0,0,44
3,19519,23BZ1033B,42.034378,12.648893,4,False,1,0,1,0,30
6,19531,23BZ1045B,45.54818,9.202131,4,False,1,0,1,0,58
10,20793,23BZ1516B,45.517027,9.147218,4,False,1,0,1,0,55
11,13422,22BZ3009B,43.071302,13.844789,4,False,1,0,1,0,15
12,6727,21BZ2762B,43.48079,13.59644,4,False,1,0,1,0,15
13,36831,23BZ0435D,44.6617823,10.8555736,4,False,1,0,0,0,47
14,9919,22BZ0670B,44.87931,11.57079,4,False,1,0,1,0,35
15,16942,22BZ6977B,44.1169093728499,12.408989135006673,4,False,1,0,1,0,29
16,9005,22BZ0553B,42.03136484930663,11.96287806209704,4,False,1,0,1,0,25
21,13425,22BZ3002B,45.60774184359634,12.298581731769657,4,False,1,0,1,0,14
22,19529,23BZ1043B,44.60469302341558,8.953060110443314,4,False,1,0,1,0,51
24,8934,22BZ0548B,45.07469,8.51101,4,False,1,0,1,0,51
25,9817,22BZ0674B,43.83179219080415,11.16010001834332,4,False,1,0,1,0,49
27,12619,22BZ2238B,44.4277929435558,11.59927773004565,4,False,1,0,1,0,42
28,83765,24BZ1705B,44.6097,8.6613,4,True,1,0,0,0,46
32,13447,22BZ3019B,41.9025,12.752471,4,False,1,0,1,0,33
33,9835,22BZ0662B,45.5738853,9.392549,4,False,1,0,1,0,62
36,20805,23BZ1504B,45.63385426728856,9.600788152862714,4,False,1,0,1,0,50
37,8936,22BZ0550B,44.88013,11.56906,4,False,1,0,1,0,35
40,20791,23BZ1518B,41.595306,15.470685,4,False,1,0,1,0,21
44,17813,22BZ5318B,45.62475539738236,8.712067013491533,4,False,1,0,1,0,43
45,13426,22BZ3006B,43.084033,13.844127,4,False,1,0,1,0,15
46,10582,22BZ0691B,43.58292202603713,11.522620177756425,4,False,1,0,1,0,40
48,17424,22BZ5353B,41.8498347,12.7328198,4,False,1,0,1,0,30
49,76415,24BZ5260D,42.62348381178956,12.232490713525506,3,True,1,0,0,0,38
50,10545,22BZ0686B,45.461887776561866,9.2763829988045,4,False,1,0,1,0,58
51,71210,24BZ4451D,44.962869094179965,9.90444213224484,3,True,1,0,0,0,57
54,13417,22BZ3014B,41.06467591621623,15.314206038647178,4,False,1,0,1,0,21
55,16939,22BZ6974B,44.874039,8.833501,4,False,1,1,1,0,57
56,20795,23BZ1514B,44.60469167309025,8.953054420619305,4,False,1,0,1,0,51
57,12618,22BZ2237B,45.53256573064744,10.151177887472564,4,False,1,0,1,0,42
58,9262,22BZ0559B,40.92542,14.78317,4,False,1,0,1,0,20
59,13448,22BZ3020B,41.89188154748638,12.758657253033844,4,False,1,0,1,0,33
60,19522,23BZ1036B,44.826193,10.380317,4,False,1,0,1,0,42
61,20794,23BZ1515B,46.49900946415393,13.375391836695504,4,False,1,0,1,0,3
