connector_station_id,chargePointIdentity,station_city,gpsLat,gpsLong,station_brand,serialNumber,station_installation_year,station_installation_month,station_installation_week
385079,IT*F2X*EF2XITA2151*1,Fiorenzuola d'Arda,44.96266,9.90426,EVTEC,22111384 10941.0B - 22111384 10941.0B,2022,4,16
385079,IT*F2X*EF2XITA2151*2,Fiorenzuola d'Arda,44.96266,9.90426,EVTEC,22111384 10941.0B - 22111384 10941.0B,2022,4,16
385079,IT*F2X*EF2XITA2151*3,Fiorenzuola d'Arda,44.96266,9.90426,EVTEC,22111384 10941.0B - 22111384 10941.0B,2022,4,16
578546,IT*F2X*EF2XITN3001*1,Savignano sul Rubicone,44.116922,12.409015,alpitronic GmbH,HYC_300_22BZ6977B - HYC_300_22BZ6977B,2023,3,13
578546,IT*F2X*EF2XITN3001*2,Savignano sul Rubicone,44.116922,12.409015,alpitronic GmbH,HYC_300_22BZ6977B - HYC_300_22BZ6977B,2023,3,13
385083,IT*F2X*EF2XITD2051*1,Caponago,45.57589,9.39336,EVTEC,22111383 10941.0B - 22111383 10941.0B,2022,4,16
385083,IT*F2X*EF2XITD2051*2,Caponago,45.57589,9.39336,EVTEC,22111383 10941.0B - 22111383 10941.0B,2022,4,16
385083,IT*F2X*EF2XITD2051*3,Caponago,45.57589,9.39336,EVTEC,22111383 10941.0B - 22111383 10941.0B,2022,4,16
480502,IT*F2X*EF2XITA9651*1,Giove,42.49917,12.31096,alpitronic GmbH,HYC_150_21BZ2009A - HYC_150_21BZ2009A,2023,2,7
480502,IT*F2X*EF2XITA9651*2,Giove,42.49917,12.31096,alpitronic GmbH,HYC_150_21BZ2009A - HYC_150_21BZ2009A,2023,2,7
578547,IT*F2X*EF2XITN3002*1,Savignano sul Rubicone,44.11693,12.408955,alpitronic GmbH,HYC_300_22BZ6969B - HYC_300_22BZ6969B,2023,3,13
480503,IT*F2X*EF2XITA9602*1,Giove,42.49929,12.31107,alpitronic GmbH,HYC_300_21BZ2780B - HYC_300_21BZ2780B,2023,2,7
480503,IT*F2X*EF2XITA9602*2,Giove,42.49929,12.31107,alpitronic GmbH,HYC_300_21BZ2780B - HYC_300_21BZ2780B,2023,2,7
480504,IT*F2X*EF2XITA9601*1,Giove,42.49927,12.31106,alpitronic GmbH,HYC_300_21BZ2782B - HYC_300_21BZ2782B,2023,2,7
480504,IT*F2X*EF2XITA9601*2,Giove,42.49927,12.31106,alpitronic GmbH,HYC_300_21BZ2782B - HYC_300_21BZ2782B,2023,2,7
578547,IT*F2X*EF2XITN3002*2,Savignano sul Rubicone,44.11693,12.408955,alpitronic GmbH,HYC_300_22BZ6969B - HYC_300_22BZ6969B,2023,3,13
946669,IT*F2X*EF2XITW3001*1,Malborghetto Valbruna,46.498992,13.375473,alpitronic GmbH,HYC_300_23BZ1511B - HYC_300_23BZ1511B,2023,11,46
946669,IT*F2X*EF2XITW3001*2,Malborghetto Valbruna,46.498992,13.375473,alpitronic GmbH,HYC_300_23BZ1511B - HYC_300_23BZ1511B,2023,11,46
946670,IT*F2X*EF2XITW3002*1,Malborghetto Valbruna,46.498977,13.375566,alpitronic GmbH,HYC_300_23BZ1515B - HYC_300_23BZ1515B,2023,11,46
578548,IT*F2X*EF2XITN3051*1,Savignano sul Rubicone,44.116774,12.408953,EVTEC,23052068 10941.1A - 23052068 10941.1A,2023,3,13
946670,IT*F2X*EF2XITW3002*2,Malborghetto Valbruna,46.498977,13.375566,alpitronic GmbH,HYC_300_23BZ1515B - HYC_300_23BZ1515B,2023,11,46
946671,IT*F2X*EF2XITW3051*1,Malborghetto Valbruna,46.499013,13.3754,EVTEC,23182141 10941.1A - 23182141 10941.1A,2023,11,46
946671,IT*F2X*EF2XITW3051*2,Malborghetto Valbruna,46.499013,13.3754,EVTEC,23182141 10941.1A - 23182141 10941.1A,2023,11,46
946671,IT*F2X*EF2XITW3051*3,Malborghetto Valbruna,46.499013,13.3754,EVTEC,23182141 10941.1A - 23182141 10941.1A,2023,11,46
578548,IT*F2X*EF2XITN3051*2,Savignano sul Rubicone,44.116774,12.408953,EVTEC,23052068 10941.1A - 23052068 10941.1A,2023,3,13
1002799,IT*F2X*EF2XITH1101*1,Lainate,45.558758,9.039773,alpitronic GmbH,HYC_300_23BZ1517B - HYC_300_23BZ1517B,2024,5,21
373451,IT*F2X*EF2XITN5601*1,Numana,43.481229,13.594777,alpitronic GmbH,HYC_300_22BZ5312B - HYC_300_22BZ5312B,0,0,0
373451,IT*F2X*EF2XITN5601*2,Numana,43.481229,13.594777,alpitronic GmbH,HYC_300_22BZ5312B - HYC_300_22BZ5312B,0,0,0
578548,IT*F2X*EF2XITN3051*3,Savignano sul Rubicone,44.116774,12.408953,EVTEC,23052068 10941.1A - 23052068 10941.1A,2023,3,13
1002799,IT*F2X*EF2XITH1101*2,Lainate,45.558758,9.039773,alpitronic GmbH,HYC_300_23BZ1517B - HYC_300_23BZ1517B,2024,5,21
1002800,IT*F2X*EF2XITH1102*1,Lainate,45.558733,9.039827,alpitronic GmbH,HYC_300_23BZ0050B - HYC_300_23BZ0050B,2024,5,21
1002800,IT*F2X*EF2XITH1102*2,Lainate,45.558733,9.039827,alpitronic GmbH,HYC_300_23BZ0050B - HYC_300_23BZ0050B,2024,5,21
373456,IT*F2X*EF2XITN5602*1,Numana,43.481183,13.594838,alpitronic GmbH,HYC_300_21BZ2764B - HYC_300_21BZ2764B,0,0,0
373456,IT*F2X*EF2XITN5602*2,Numana,43.481183,13.594838,alpitronic GmbH,HYC_300_21BZ2764B - HYC_300_21BZ2764B,0,0,0
1002801,IT*F2X*EF2XITH1151*1,Lainate,45.558677,9.039933,EVTEC,23222156 10941.1A - 23222156 10941.1A,2024,5,21
1002801,IT*F2X*EF2XITH1151*2,Lainate,45.558677,9.039933,EVTEC,23222156 10941.1A - 23222156 10941.1A,2024,5,21
1002801,IT*F2X*EF2XITH1151*3,Lainate,45.558677,9.039933,EVTEC,23222156 10941.1A - 23222156 10941.1A,2024,5,21
373459,IT*F2X*EF2XITN5651*2,Numana,43.481079,13.594935,EVTEC,21461261 10941.1A - 21461261 10941.1A,0,0,0
373459,IT*F2X*EF2XITN5651*3,Numana,43.481079,13.594935,EVTEC,21461261 10941.1A - 21461261 10941.1A,0,0,0
912656,IT*F2X*EF2XITA3701*1,Castiglione dei Pepoli,44.15106,11.19363,alpitronic GmbH,HYC_300_23BZ1035B - HYC_300_23BZ1035B,0,0,0
912656,IT*F2X*EF2XITA3701*2,Castiglione dei Pepoli,44.15106,11.19363,alpitronic GmbH,HYC_300_23BZ1035B - HYC_300_23BZ1035B,0,0,0
912657,IT*F2X*EF2XITA3702*1,Castiglione dei Pepoli,44.151067,11.193595,alpitronic GmbH,HYC_300_23BZ1034B - HYC_300_23BZ1034B,0,0,0
421262,IT*F2X*EF2XITX5051*1,Occimiano,45.07458,8.511,EVTEC,22341744 10941.1A - 22341744 10941.1A,2022,9,38
421262,IT*F2X*EF2XITX5051*2,Occimiano,45.07458,8.511,EVTEC,22341744 10941.1A - 22341744 10941.1A,2022,9,38
421262,IT*F2X*EF2XITX5051*3,Occimiano,45.07458,8.511,EVTEC,22341744 10941.1A - 22341744 10941.1A,2022,9,38
912657,IT*F2X*EF2XITA3702*2,Castiglione dei Pepoli,44.151067,11.193595,alpitronic GmbH,HYC_300_23BZ1034B - HYC_300_23BZ1034B,0,0,0
421265,IT*F2X*EF2XITX5151*1,Occimiano,45.074825,8.508883,EVTEC,22341745 10941.1A - 22341745 10941.1A,2022,9,38
