Model,Accuracy,Precision,Recall,F1-score,AUC,Balanced Accuracy
LinearDiscriminantAnalysis,0.9578207381370826,0.7262339242266249,0.707318044274566,0.7163038058833305,0.707318044274566,0.707318044274566
GaussianNB,0.8968951376684241,0.6175409306333477,0.8282767956681001,0.6576351536147325,0.8282767956681001,0.8282767956681001
QuadraticDiscriminantAnalysis,0.90099589923843,0.6171104685021186,0.8095901682858204,0.6566696300739423,0.8095901682858204,0.8095901682858204
NearestCentroid,0.8740480374926772,0.6040412794710065,0.8441365397887137,0.6364303694391693,0.8441365397887137,0.8441365397887137
SGDClassifier,0.9519625073227885,0.6651884132273777,0.6140308966395923,0.6341199473034859,0.6140308966395923,0.6140308966395923
PassiveAggressiveClassifier,0.9630931458699473,0.8164594434576673,0.5851250199076286,0.6284630453033178,0.5851250199076286,0.5851250199076286
LogisticRegression,0.9619214997070885,0.788385632524176,0.5775733927907841,0.6166682213446928,0.5775733927907841,0.5775733927907841
DecisionTreeClassifier,0.9326303456356181,0.6044942164074345,0.6317221425917079,0.6161036787008481,0.6317221425917079,0.6317221425917079
CalibratedClassifierCV,0.961335676625659,0.7722935894237964,0.5772681424855338,0.6150781719783524,0.5772681424855338,0.5772681424855338
AdaBoostClassifier,0.9566490919742238,0.6899120463606099,0.5817672665498752,0.6112909578789296,0.5817672665498752,0.5817672665498752
BaggingClassifier,0.9543057996485061,0.664793092212447,0.580546265328874,0.6058716965046889,0.580546265328874,0.580546265328874
GradientBoostingClassifier,0.9601640304628002,0.7456815914193066,0.5697165153686893,0.6034138741595145,0.5697165153686893,0.5697165153686893
HistGradientBoostingClassifier,0.9578207381370826,0.6998734896209853,0.5684955141476881,0.5978588068999817,0.5684955141476881,0.5684955141476881
BernoulliNB,0.8219097832454598,0.5811786398866572,0.8447337686468122,0.5906733135609263,0.8447337686468119,0.8447337686468122
KNeighborsClassifier,0.9607498535442296,0.7676989283604758,0.5561395126612518,0.5863285022407252,0.5561395126612518,0.5561395126612518
ExtraTreeClassifier,0.9355594610427651,0.5799417546414269,0.5777193820672082,0.5788097118041848,0.5777193820672081,0.5777193820672082
MLPClassifier,0.9519625073227885,0.6272615289860651,0.5585018845888411,0.5776282438141219,0.5585018845888411,0.5585018845888411
RandomForestClassifier,0.9607498535442296,0.7814378314672952,0.542257259648564,0.5659043895773632,0.542257259648564,0.542257259648564
GaussianProcessClassifier,0.9513766842413591,0.6065366289458011,0.544314381270903,0.5596536430571657,0.544314381270903,0.544314381270903
RidgeClassifier,0.9595782073813708,0.731143193871538,0.5347056325317195,0.5529463116542994,0.5347056325317195,0.5347056325317195
RidgeClassifierCV,0.9595782073813708,0.731143193871538,0.5347056325317195,0.5529463116542994,0.5347056325317195,0.5347056325317195
LinearSVC,0.9589923842999414,0.7084048027444254,0.5344003822264692,0.5520020995800841,0.5344003822264692,0.5344003822264692
LabelSpreading,0.9355594610427651,0.5516905901116427,0.5430137495354886,0.5467645695747885,0.5430137495354886,0.5430137495354886
LabelPropagation,0.9349736379613357,0.550469459024278,0.5427084992302383,0.5461074286918881,0.5427084992302385,0.5427084992302383
LogisticRegressionCV,0.9601640304628002,0.7806110458284371,0.521128629824282,0.5303608998219776,0.521128629824282,0.521128629824282
ExtraTreesClassifier,0.9578207381370826,0.6472320376914016,0.5199076286032808,0.5276701715550637,0.5199076286032808,0.5199076286032808
Perceptron,0.9466900995899239,0.5185329245412529,0.5071667462971811,0.5073436831004899,0.5071667462971811,0.5071667462971811
DummyClassifier,0.9595782073813708,0.4797891036906854,0.5,0.4896860986547085,0.5,0.5
SVC,0.9595782073813708,0.4797891036906854,0.5,0.4896860986547085,0.5,0.5
