geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,civic_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
"POLYGON ((190197.79642455757 4855418.303914024, 190198.57448812207 4855425.313939898, 190288.6394534296 4855575.72583476, 190340.6036676386 4855558.735446985, 190372.5078999673 4855610.247448014, 190379.9844928974 4855612.526470845, 190381.3561528144 4855614.622137785, 190413.30977452965 4855690.313606118, 190708.75453334983 4855668.853178696, 190673.1779001825 4855179.05095902, 190557.6193782151 4855187.444182333, 190563.30053582927 4855197.43029892, 190563.73957082047 4855198.200212453, 190576.7531836757 4855226.236190768, 190581.04727544705 4855235.8544224575, 190583.2201847816 4855246.161280964, 190582.64585122745 4855249.071043755, 190581.78327950794 4855253.586012808, 190579.8827426004 4855256.590853646, 190578.23175990634 4855258.025682424, 190575.81274259253 4855261.499898884, 190570.42703703046 4855271.757592705, 190569.3344018312 4855273.2332427185, 190565.81052129075 4855316.409156572, 190432.82849471166 4855310.151047833, 190230.68533156544 4855287.090034054, 190232.09666164056 4855306.315250466, 190197.79642455757 4855418.303914024))",0,[],0.055364860465116274,Other,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,No,None,,,Florence
"POLYGON ((190413.30977452965 4855690.313606118, 190589.4078667562 4856107.449835764, 190659.34647023684 4856142.054651966, 190663.32048201538 4856153.123736046, 190657.31217846356 4856153.792798123, 190657.83061832457 4856164.938966472, 190744.3340070537 4856158.655058402, 190708.75453334983 4855668.853178696, 190413.30977452965 4855690.313606118))",0,[],0.37984493999999996,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Florence
"POLYGON ((190657.83061832457 4856164.938966472, 190658.30154318752 4856175.063561279, 190675.72395429987 4856212.979622283, 190738.21974913852 4856370.021254059, 190744.34550286894 4856370.148250304, 190764.72013038478 4856439.28116557, 190744.3340070537 4856158.655058402, 190657.83061832457 4856164.938966472))",0,[],1.8144647777777776,Other,4,5,0.4166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Florence
"POLYGON ((190673.1779001825 4855179.05095902, 190637.60410776787 4854689.248399376, 190458.37701830867 4854702.264939893, 190457.6249395695 4854706.383312015, 190456.70968769526 4854710.633588442, 190451.39471299417 4854717.392766119, 190406.73514737212 4854730.323797503, 190354.11983219872 4854748.200424805, 190319.58884900686 4854759.714543099, 190319.55148751504 4854770.001786195, 190326.6458091538 4854782.762237591, 190334.00154077512 4854795.421475857, 190473.3126100623 4855039.252715499, 190557.6193782151 4855187.444182333, 190673.1779001825 4855179.05095902))",0,[],0.2451678933333333,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Florence
"POLYGON ((190637.60410776787 4854689.248399376, 190602.0331563218 4854199.445499753, 190327.2267046409 4854219.401983254, 190324.008575505 4854222.470080681, 190333.81292017846 4854235.39388817, 190337.61427946796 4854246.192640536, 190338.39806159947 4854257.142941749, 190334.50745595904 4854266.785744852, 190328.86567347078 4854274.32827083, 190321.63694015716 4854283.992846181, 190320.43342409545 4854289.848357109, 190323.35774628323 4854297.2260238575, 190347.1433659962 4854334.322430648, 190366.77519602672 4854370.209609019, 190382.31815212895 4854401.600722969, 190390.4090223827 4854419.134819539, 190394.73802469 4854423.942567937, 190402.602530982 4854429.331634259, 190463.07569768792 4854459.990665039, 190501.93468513706 4854481.492446339, 190541.92576336703 4854507.572466408, 190539.91744847537 4854511.906950333, 190558.02205870202 4854527.472756111, 190562.45427699393 4854530.86210116, 190563.37765053194 4854533.201292168, 190563.14664515806 4854535.171170384, 190556.98977930343 4854541.869205371, 190554.01648991246 4854545.224467246, 190509.4251247524 4854587.393858237, 190490.73093292164 4854608.222110153, 190489.0033284353 4854612.5212962255, 190487.52922792535 4854619.669478118, 190486.25769039406 4854624.236869284, 190461.6916119273 4854687.526644155, 190459.28970033897 4854697.267108032, 190458.37701830867 4854702.264939893, 190637.60410776787 4854689.248399376))",0,[],0.21927429729729725,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Florence
"POLYGON ((190602.0331563218 4854199.445499753, 190587.2342615318 4853995.656880341, 190554.25175949355 4854009.813144641, 190551.40568004973 4854014.175427169, 190500.75642742263 4854047.576297186, 190446.40409269364 4854102.277359072, 190394.82403604419 4854156.215485954, 190374.1393028103 4854174.676511992, 190327.2267046409 4854219.401983254, 190602.0331563218 4854199.445499753))",0,[],0.227745,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Florence
"POLYGON ((190764.72013038478 4856439.28116557, 190772.05129137833 4856464.156392454, 190776.61467018566 4856467.272504977, 190782.78750788135 4856507.949270672, 190793.21480682853 4856547.181488254, 190808.43675204954 4856601.9640638875, 190820.07442726934 4856639.314463671, 190786.55434218637 4856647.974350465, 191270.0857473613 4856612.846191854, 191234.50377344835 4856123.04749447, 190744.3340070537 4856158.655058402, 190764.72013038478 4856439.28116557))",0,[],2.5944153473684213,Other,23,35,0.0691699604743083,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,{'primary'},1.0,50.0,Florence
"POLYGON ((190786.55434218637 4856647.974350465, 190780.00422459817 4856649.666568417, 190811.17436562805 4857078.700699419, 190830.03807688708 4857107.441504742, 190833.34206130262 4857136.961587303, 191190.38711781817 4857111.02045923, 191304.59414906765 4857087.829117133, 191270.0857473613 4856612.846191854, 190786.55434218637 4856647.974350465))",0,[],0.006670999999999998,Other,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,No,None,,,Florence
"POLYGON ((190833.34206130262 4857136.961587303, 190838.4376504388 4857182.4889221685, 191190.38711781817 4857111.02045923, 190833.34206130262 4857136.961587303))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Florence
"POLYGON ((191234.50377344835 4856123.04749447, 191198.9246398593 4855633.248457338, 190708.75453334983 4855668.853178696, 190744.3340070537 4856158.655058402, 191234.50377344835 4856123.04749447))",0,[],7.560545454545456,Other,20,37,0.09736842105263158,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes,{'primary'},2.0,50.0,Florence
