geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,civic_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
"POLYGON ((34013.77521749155 5049957.578448736, 34019.421725952765 5049969.2221034095, 34028.1342644355 5049978.113263581, 34174.69445882173 5050038.648575512, 34508.24013173906 5050013.6668689735, 34486.23584528756 5049719.867265676, 34477.05373174872 5049722.790553698, 34378.61120719829 5049764.342150057, 34193.048548021296 5049818.962837886, 34068.52959728107 5049842.877606507, 34058.11257206614 5049848.176239865, 34039.43847852334 5049870.687739869, 34015.81159887562 5049937.812339329, 34013.77521749155 5049957.578448736))",0,[],0.18400355555555556,industrial,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((34174.69445882173 5050038.648575512, 34249.65241059591 5050069.609207307, 34244.71447133896 5050087.580282766, 34361.86961614742 5050148.1804524055, 34363.86536040722 5050149.115588661, 34524.0272020995 5050224.446437803, 34508.24013173906 5050013.6668689735, 34174.69445882173 5050038.648575512))",0,[],0.187754,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((34524.0272020995 5050224.446437803, 34682.73006739642 5050299.090901537, 34748.86998809734 5050311.234349314, 34775.40903279156 5050308.235547615, 34785.463822958176 5050311.5099201165, 34761.82616954768 5050339.91689938, 34720.899115509004 5050447.361944725, 34720.23487056821 5050449.109112639, 34740.5936869274 5050452.455709524, 34762.22654348018 5050456.020492426, 34751.4966397644 5050485.246066694, 35032.24758105172 5050464.217089625, 34995.76661283389 5049977.15257235, 34508.24013173906 5050013.6668689735, 34524.0272020995 5050224.446437803))",0,[],0.187754,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((34751.4966397644 5050485.246066694, 34655.75401801546 5050746.026370238, 34715.66042423691 5050752.097580286, 34627.94333350612 5050984.299880253, 35068.73126676184 5050951.281198004, 35032.24758105172 5050464.217089625, 34751.4966397644 5050485.246066694))",0,[],0.0,Other,7,8,0.19047619047619047,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((34627.94333350612 5050984.299880253, 34588.721063676174 5051088.128615373, 34589.66371249431 5051100.712403172, 34609.26841635385 5051119.741919381, 34594.16537394904 5051160.80650511, 34617.69241683057 5051474.867353958, 35105.217669743404 5051438.344897486, 35068.73126676184 5050951.281198004, 34627.94333350612 5050984.299880253))",0,[],0.9690005,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((34617.69241683057 5051474.867353958, 34629.880283985345 5051637.556343618, 34715.196584955556 5051687.837146677, 34846.574862157344 5051755.806728158, 34854.024347945 5051753.2426907355, 34970.3405548982 5051499.401044028, 35000.23415795574 5051506.608315808, 35029.59072625055 5051509.2312763715, 35105.689106615435 5051444.637954914, 35105.217669743404 5051438.344897486, 34617.69241683057 5051474.867353958))",0,[],0.3041854545454546,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((34995.76661283389 5049977.15257235, 34966.93805211346 5049592.230881411, 34584.46461823158 5049688.594422178, 34486.23584528756 5049719.867265676, 34508.24013173906 5050013.6668689735, 34995.76661283389 5049977.15257235))",0,[],0.187754,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35105.689106615435 5051444.637954914, 35113.86636942462 5051437.696990837, 35105.217669743404 5051438.344897486, 35105.689106615435 5051444.637954914))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35113.86636942462 5051437.696990837, 35129.61373768648 5051424.330428696, 35171.957685920934 5051433.345153342, 35211.89339486102 5051430.353421913, 35215.60199775989 5051423.319768185, 35229.54960683576 5051421.670138424, 35246.22239797993 5051418.611929323, 35265.51098149561 5051426.336732675, 35592.74020046595 5051401.82285068, 35556.25420665508 5050914.761870929, 35068.73126676184 5050951.281198004, 35105.217669743404 5051438.344897486, 35113.86636942462 5051437.696990837))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35171.957685920934 5051433.345153342, 35206.444751439965 5051440.687200281, 35211.89339486102 5051430.353421913, 35171.957685920934 5051433.345153342))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35265.51098149561 5051426.336732675, 35277.517159537296 5051431.145035212, 35296.671056330495 5051429.109152061, 35367.21533389593 5051458.209953662, 35497.85045067931 5051497.48569528, 35500.70055655227 5051505.919638726, 35472.82143739425 5051552.443500863, 35477.3752559814 5051556.930984104, 35604.032698746596 5051552.561901877, 35592.74020046595 5051401.82285068, 35265.51098149561 5051426.336732675))",0,[],0.8365100000000001,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35556.25420665508 5050914.761870929, 35519.77093011851 5050427.7004825035, 35032.24758105172 5050464.217089625, 35068.73126676184 5050951.281198004, 35556.25420665508 5050914.761870929))",0,[],0.16539714285714277,Other,8,10,0.17857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35519.77093011851 5050427.7004825035, 35483.2903710758 5049940.638685398, 34995.76661283389 5049977.15257235, 35032.24758105172 5050464.217089625, 35519.77093011851 5050427.7004825035))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35483.2903710758 5049940.638685398, 35446.81252974813 5049453.576479616, 35044.99315498036 5049483.669114679, 35027.432857390144 5049576.989357925, 34966.93805211346 5049592.230881411, 34995.76661283389 5049977.15257235, 35483.2903710758 5049940.638685398))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35446.81252974813 5049453.576479616, 35410.3374063549 5048966.513865148, 35087.364721090475 5048990.6997630065, 35076.15621437447 5049021.687561473, 35073.97699646128 5049032.907308137, 35073.61129147542 5049044.193558159, 35066.009899183584 5049052.810948712, 34994.29183446086 5049030.498580899, 35004.13267276407 5049078.021758754, 35071.14840367797 5049318.325932939, 35070.13133771985 5049350.078869758, 35044.99315498036 5049483.669114679, 35446.81252974813 5049453.576479616))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35410.3374063549 5048966.513865148, 35385.43240556505 5048633.929273699, 35346.734801769024 5048714.479004738, 35330.45813094411 5048741.431963151, 35268.07445980661 5048824.122897452, 35251.39196655847 5048853.865171069, 35137.22936062043 5048827.68430868, 35104.42397192045 5048924.055459053, 35094.51010632556 5048963.404778271, 35090.81133658299 5048981.171022821, 35087.364721090475 5048990.6997630065, 35410.3374063549 5048966.513865148))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35604.032698746596 5051552.561901877, 35763.43480259157 5051547.063292842, 36098.76304048661 5051612.290345047, 36080.26000899519 5051365.301213319, 35592.74020046595 5051401.82285068, 35604.032698746596 5051552.561901877))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36080.26000899519 5051365.301213319, 36043.77442413452 5050878.242953303, 35556.25420665508 5050914.761870929, 35592.74020046595 5051401.82285068, 36080.26000899519 5051365.301213319))",0,[],0.17382025974025977,residential,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36043.77442413452 5050878.242953303, 36007.29155655077 5050391.184284832, 35519.77093011851 5050427.7004825035, 35556.25420665508 5050914.761870929, 36043.77442413452 5050878.242953303))",0,[],0.25748154285714286,Other,8,9,0.16071428571428573,0,0,1,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36007.29155655077 5050391.184284832, 35970.8114064635 5049904.125207903, 35483.2903710758 5049940.638685398, 35519.77093011851 5050427.7004825035, 36007.29155655077 5050391.184284832))",0,[],0.0,Other,2,2,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35970.8114064635 5049904.125207903, 35934.333974093024 5049417.065722513, 35446.81252974813 5049453.576479616, 35483.2903710758 5049940.638685398, 35970.8114064635 5049904.125207903))",0,[],0.0,residential,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35934.333974093024 5049417.065722513, 35897.859259659424 5048930.005828661, 35410.3374063549 5048966.513865148, 35446.81252974813 5049453.576479616, 35934.333974093024 5049417.065722513))",0,[],1.3894769523809525,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35897.859259659424 5048930.005828661, 35861.38726338319 5048442.945526345, 35678.794542678166 5048456.617913621, 35658.30004285317 5048492.667811738, 35605.730327899684 5048462.08890781, 35462.84805332584 5048472.787839849, 35385.43240556505 5048633.929273699, 35410.3374063549 5048966.513865148, 35897.859259659424 5048930.005828661))",0,[],0.824016,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35861.38726338319 5048442.945526345, 35860.61816792423 5048432.674350653, 35851.608195142646 5048420.881422655, 35836.220722053025 5048387.250219492, 35760.24006862391 5048266.862794531, 35734.25512504665 5048239.445071824, 35713.286522737355 5048260.109411875, 35675.68980327464 5048324.673446362, 35674.25753607979 5048345.890055916, 35711.432708623295 5048399.20733553, 35678.794542678166 5048456.617913621, 35861.38726338319 5048442.945526345))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35605.730327899684 5048462.08890781, 35482.40641758934 5048390.353401428, 35491.38643110322 5048443.078675153, 35467.991919063905 5048462.08085977, 35462.84805332584 5048472.787839849, 35605.730327899684 5048462.08890781))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36098.76304048661 5051612.290345047, 36125.80036232667 5051617.549553123, 36136.977094999165 5051624.551378229, 36143.51535596064 5051623.2627767585, 36146.444231916044 5051587.046245274, 36146.571768178546 5051586.645861731, 36163.69185319322 5051532.869411975, 36179.19470896985 5051519.64668148, 36196.735024970665 5051520.346721861, 36200.42345316225 5051510.400666526, 36191.99906294327 5051483.893832437, 36196.56756320107 5051475.111239168, 36207.77736620215 5051466.428704278, 36208.60190064146 5051455.912926028, 36198.128178847546 5051431.557228708, 36207.35996549204 5051409.7517910665, 36232.67461492313 5051406.849186582, 36255.6581836851 5051396.88146833, 36275.337182459014 5051386.868167525, 36313.036762574746 5051347.8632493215, 36080.26000899519 5051365.301213319, 36098.76304048661 5051612.290345047))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36313.036762574746 5051347.8632493215, 36314.27944813535 5051346.577536695, 36335.43038133101 5051337.013937402, 36350.62828257313 5051327.835362119, 36371.745163672196 5051306.345388122, 36377.34942779271 5051292.649899608, 36375.059964261076 5051275.529016855, 36380.23391493404 5051250.606537718, 36376.820560714346 5051196.966404533, 36369.435909019725 5051176.212910446, 36371.15714486636 5051099.875960742, 36393.45272619685 5051048.532229225, 36419.59295950335 5051029.6864674045, 36467.74651665072 5051020.2356561795, 36512.43445408152 5051023.540355683, 36516.60873064329 5051004.109292684, 36537.81650233379 5051002.729592129, 36542.68476758356 5050993.816176941, 36531.29191919835 5050841.724444905, 36043.77442413452 5050878.242953303, 36080.26000899519 5051365.301213319, 36313.036762574746 5051347.8632493215))",0,[],0.015042106060606058,Other,13,16,0.10256410256410256,0,0,0,0,0,0,1,0,0,1,0,0,0,Yes,{'tertiary'},2.0,90.0,Milan
"POLYGON ((36531.29191919835 5050841.724444905, 36494.80946034653 5050354.66849639, 36007.29155655077 5050391.184284832, 36043.77442413452 5050878.242953303, 36531.29191919835 5050841.724444905))",0,[],5.548740042553191,Other,4,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36494.80946034653 5050354.66849639, 36458.32971899386 5049867.612139638, 35970.8114064635 5049904.125207903, 36007.29155655077 5050391.184284832, 36494.80946034653 5050354.66849639))",0,[],7.566177432950191,Other,31,55,0.05913978494623656,0,0,0,1,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36458.32971899386 5049867.612139638, 36421.85269536014 5049380.555374647, 35934.333974093024 5049417.065722513, 35970.8114064635 5049904.125207903, 36458.32971899386 5049867.612139638))",0,[],1.125964375,Other,6,7,0.23333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36421.85269536014 5049380.555374647, 36385.37838966597 5048893.49820141, 35897.859259659424 5048930.005828661, 35934.333974093024 5049417.065722513, 36421.85269536014 5049380.555374647))",0,[],0.824016,Other,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36385.37838966597 5048893.49820141, 36348.906802131096 5048406.440619932, 35971.47792386642 5048434.70204545, 35908.29905040737 5048509.345675808, 35878.350200125016 5048455.883354346, 35868.08247658878 5048442.444195033, 35861.38726338319 5048442.945526345, 35897.859259659424 5048930.005828661, 36385.37838966597 5048893.49820141))",0,[],0.824016,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36348.906802131096 5048406.440619932, 36341.04949918145 5048301.505942545, 36257.56876727223 5048342.634272943, 36226.18513329228 5048350.40713875, 36118.197558485146 5048261.358428327, 35971.47792386642 5048434.70204545, 36348.906802131096 5048406.440619932))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((35868.08247658878 5048442.444195033, 35860.61816792423 5048432.674350653, 35861.38726338319 5048442.945526345, 35868.08247658878 5048442.444195033))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36542.68476758356 5050993.816176941, 36549.654023703944 5050981.056014593, 36565.41317328875 5050955.015412883, 36566.389238842414 5050906.27791318, 36566.893285224505 5050890.569884741, 36567.35773227876 5050876.238629237, 36565.30300898175 5050843.798248371, 36638.8172327404 5050855.816441114, 36728.50143507455 5050861.155081605, 36740.015349265246 5050888.651288632, 36744.68333325995 5050916.050767916, 36744.72204990429 5050966.410723363, 36746.761823680485 5051000.147792155, 36731.69524936611 5051048.732328259, 36743.431644494995 5051055.224738249, 36736.59056382527 5051087.172698411, 36688.42865496385 5051152.915984107, 36661.99407022522 5051173.200901928, 36648.21515597624 5051209.426501757, 36599.26009942102 5051227.35719703, 36589.97572291893 5051253.6781665925, 36566.96189683216 5051317.897967607, 36567.77709532931 5051328.779985187, 37055.29145946534 5051292.259166058, 37018.8066918439 5050805.206345514, 36531.29191919835 5050841.724444905, 36542.68476758356 5050993.816176941))",0,[],0.5686078727272728,Other,11,11,0.1,0,0,0,0,0,0,0,0,0,2,0,0,0,Yes,"{'motorway_link', 'secondary', 'motorway'}",1.9285714285714286,59.285714285714285,Milan
"POLYGON ((36567.77709532931 5051328.779985187, 36587.49107805715 5051591.934741726, 36670.05018623598 5051519.058284473, 36705.24259059044 5051479.595065723, 36719.4398831054 5051475.908605228, 36738.42949077691 5051476.547595086, 36762.66529567627 5051484.672945132, 36844.99670864956 5051512.291559662, 36856.365852528135 5051520.631823136, 36868.79395061289 5051532.981770712, 36868.584629346384 5051543.965593657, 36866.19638519187 5051547.593589081, 36860.87633877905 5051555.682817405, 36850.77191933291 5051564.0142626325, 36804.62312341505 5051678.697764711, 36784.08900304843 5051802.363049614, 37091.77894414804 5051779.311578588, 37055.29145946534 5051292.259166058, 36567.77709532931 5051328.779985187))",0,[],1.0010033409090908,industrial,3,4,0.6666666666666666,0,0,0,0,0,0,0,0,0,2,0,0,0,No,None,,,Milan
"POLYGON ((36784.08900304843 5051802.363049614, 36767.418413146224 5051902.761297633, 36745.70802771946 5051923.009524188, 36792.423804265214 5051934.586948061, 36735.21921352245 5052139.9255233295, 36733.95352512848 5052144.486966434, 36706.5881613096 5052297.957418111, 37128.26914567192 5052266.363583109, 37091.77894414804 5051779.311578588, 36784.08900304843 5051802.363049614))",0,[],0.3340920980392156,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36706.5881613096 5052297.957418111, 36703.79061224795 5052313.64672305, 36730.61104932637 5052306.613153038, 36780.95437312516 5052307.668087977, 36811.640517059655 5052306.570191066, 36849.473028580716 5052321.016488339, 36961.862373938435 5052443.517889683, 36992.228451342904 5052470.401435651, 37010.19155484962 5052479.303893459, 37036.35964876204 5052482.3722526785, 37043.91839948163 5052481.399922278, 37054.87869309279 5052479.986142737, 37079.32033021911 5052474.693643855, 37092.689957169 5052469.304164099, 37096.79746192519 5052475.858389952, 37099.543195576116 5052480.257112653, 36881.30666003132 5052747.957968248, 36907.2665408639 5052772.709091613, 37164.76206381642 5052753.415179622, 37128.26914567192 5052266.363583109, 36706.5881613096 5052297.957418111))",0,[],0.11110983720930233,Other,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,Yes,{'motorway'},,90.0,Milan
"POLYGON ((36907.2665408639 5052772.709091613, 36936.15214085899 5052800.249688671, 36953.65575143893 5052827.805280888, 36957.23293292482 5052858.736800143, 36953.876352585095 5052895.151704602, 36952.48421417811 5052927.63484492, 36965.60836456757 5052957.815345763, 36959.923427453905 5052975.928307991, 36931.54458243423 5052994.35772865, 36931.49195700325 5053007.0277519245, 36941.32011861354 5053038.8594281385, 36936.46341859532 5053076.022044785, 36947.64644282829 5053093.8810411235, 36928.00263833831 5053089.325389809, 36904.1639709578 5053095.936897889, 36895.739753782924 5053104.211347191, 36875.79887965199 5053109.127189549, 36862.11747408274 5053130.45689821, 36849.21470339177 5053135.443963764, 36844.07573632983 5053144.681667318, 36826.95273210184 5053144.351714849, 36805.21745169471 5053160.056282355, 36792.351248579624 5053192.394801138, 36756.223002982675 5053201.335136704, 36741.20551385748 5053220.954647227, 36724.686116657744 5053236.418650074, 36723.92188778636 5053237.134225902, 36711.462016696634 5053246.532261412, 36713.74496823712 5053276.99806401, 37201.25769836147 5053240.466368131, 37164.76206381642 5052753.415179622, 36907.2665408639 5052772.709091613))",0,[],0.3242042380952381,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36713.74496823712 5053276.99806401, 36750.24372745975 5053764.051563155, 37237.75604908663 5053727.517148639, 37201.25769836147 5053240.466368131, 36713.74496823712 5053276.99806401))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36750.24372745975 5053764.051563155, 36786.74520263949 5054251.1046540765, 37274.257115771994 5054214.567521146, 37237.75604908663 5053727.517148639, 36750.24372745975 5053764.051563155))",0,[],7.549805333333334,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36786.74520263949 5054251.1046540765, 36823.249393556616 5054738.157336784, 37310.76089819684 5054701.6174856555, 37274.257115771994 5054214.567521146, 36786.74520263949 5054251.1046540765))",0,[],2.0077925000000003,residential,10,13,0.14444444444444443,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36823.249393556616 5054738.157336784, 36859.75629999087 5055225.209611273, 37347.2673961416 5055188.667042172, 37310.76089819684 5054701.6174856555, 36823.249393556616 5054738.157336784))",0,[],5.981370735449735,Other,8,12,0.21428571428571427,0,0,0,1,0,0,2,0,1,1,0,0,0,No,None,,,Milan
"POLYGON ((36859.75629999087 5055225.209611273, 36896.265921721584 5055712.2614775505, 37062.60030333506 5055699.792522357, 37066.80370996054 5055681.905045194, 37098.80514594627 5055569.1368484385, 37109.750582477485 5055530.562633967, 37117.78229798982 5055494.750774474, 37117.594582284044 5055463.668866694, 37114.13065653149 5055446.054114103, 37101.78765959339 5055424.472431826, 37072.19170211535 5055382.365070998, 37100.647038448835 5055366.296903237, 37167.761988454964 5055362.926667605, 37204.70004479145 5055345.147791926, 37230.06736810086 5055334.580773899, 37323.00350978295 5055302.46147912, 37354.97583794186 5055291.504136047, 37347.2673961416 5055188.667042172, 36859.75629999087 5055225.209611273))",0,[],0.05507466666666663,Other,14,20,0.10989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Milan
"POLYGON ((36896.265921721584 5055712.2614775505, 36931.807061566215 5056186.358257077, 36942.421968859155 5056114.998231233, 36990.824851964775 5055955.241331182, 37043.13951012248 5055782.607589027, 37062.60030333506 5055699.792522357, 36896.265921721584 5055712.2614775505))",0,[],0.014417142857142856,Other,11,14,0.12727272727272726,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,{'unclassified'},1.0,50.0,Milan
"POLYGON ((37018.8066918439 5050805.206345514, 36982.32464150363 5050318.153116958, 36494.80946034653 5050354.66849639, 36531.29191919835 5050841.724444905, 37018.8066918439 5050805.206345514))",0,[],8.229217402439023,Other,9,14,0.19444444444444445,0,0,1,0,0,0,0,0,0,1,0,0,0,Yes,"{'motorway_link', 'secondary'}",1.2857142857142858,44.285714285714285,Milan
