,chargerId,gpsLat,gpsLong,type,physicalPosition,session.position,carChargeParameter.maxPower,numberStacks,average_current_all_months,polygon,number_charging_station,area_km2,population_density,land_use_summary,amenity_school_count,amenity_university_count,amenity_restaurant_count,amenity_place_of_worship_count,amenity_community_centre_count,amenity_townhall_count,amenity_parking_count,amenity_library_count,leisure_park_count,leisure_cinema_count,building_commercial_count,building_government_count,building_civic_count,building_retail_count,land_use,oneway,lanes,highway,maxspeed,node_count,edge_count
0,6590.0,44.66229,10.85797,CCS2_400,1.0,1,130000.0,4.0,464.37551020408165,"POLYGON ((10.851655091881739 44.65776814133521, 10.851655091881739 44.666811858664786, 10.864284908118261 44.666811858664786, 10.864284908118261 44.65776814133521, 10.851655091881739 44.65776814133521))",1,1,52.367585,"{'Other': 9, 'residential': 3, 'industrial': 1}",0,0,3,0,0,0,6,0,0,0,1,0,0,2,residential,yes,4,service,109.23076923076923,15,31
1,6708.0,42.49927,12.31106,CCS2_400,1.0,1,326000.0,4.0,419.5046296296296,"POLYGON ((12.304967986569942 42.494748141335215, 12.304967986569942 42.50379185866479, 12.317152013430057 42.50379185866479, 12.317152013430057 42.494748141335215, 12.304967986569942 42.494748141335215))",1,1,26.962282,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,yes,2,service,85.0,4,8
2,6709.0,44.66229,10.85801,CCS2_400,1.0,1,326000.0,4.0,459.5734838121295,"POLYGON ((10.851695091881739 44.65776814133521, 10.851695091881739 44.666811858664786, 10.864324908118261 44.666811858664786, 10.864324908118261 44.65776814133521, 10.851695091881739 44.65776814133521))",1,1,52.45259899999999,,0,0,3,0,0,0,6,0,0,0,1,0,0,2,residential,yes,4,service,109.23076923076923,15,31
3,6710.0,42.49929,12.31107,CCS2_400,4.0,2,326000.0,4.0,472.37107758620687,"POLYGON ((12.304977984621402 42.494768141335214, 12.304977984621402 42.50381185866479, 12.3171620153786 42.50381185866479, 12.3171620153786 42.494768141335214, 12.304977984621402 42.494768141335214))",1,1,26.962282,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,yes,2,service,85.0,4,8
4,6724.0,45.321012,9.375258,CCS2_400,1.0,1,129000.0,4.0,395.64254658385096,"POLYGON ((9.368870091051548 45.316490141335215, 9.368870091051548 45.32553385866479, 9.381645908948453 45.32553385866479, 9.381645908948453 45.316490141335215, 9.368870091051548 45.316490141335215))",1,1,9.684773999999999,,0,0,1,0,0,0,2,0,0,0,0,0,0,1,Other,yes,3,service,130.0,12,24
5,6725.0,43.48079,13.59624,CCS2_400,1.0,1,0.0,4.0,497.47730263157894,"POLYGON ((13.590049917061155 43.47626814133521, 13.590049917061155 43.48531185866479, 13.602430082938845 43.48531185866479, 13.602430082938845 43.47626814133521, 13.590049917061155 43.47626814133521))",1,1,2.2628999999999997,,0,0,2,0,0,0,16,0,0,0,1,0,0,1,commercial,yes,1,service,50.45454545454545,9,20
6,6726.0,45.32181749999999,9.3746729,CCS2_400,4.0,2,0.0,4.0,422.7735507246377,"POLYGON ((9.368284900232407 45.3172956413352, 9.368284900232407 45.326339358664775, 9.381060899767593 45.326339358664775, 9.381060899767593 45.3172956413352, 9.368284900232407 45.3172956413352))",1,1,9.684773999999999,,0,0,1,0,0,0,2,0,0,0,0,0,0,1,Other,yes,3,service,130.0,12,24
7,6772.0,44.66244,10.85816,CHAdeMO,1.0,1,0.0,1.0,0.0,"POLYGON ((10.851845075543034 44.65791814133521, 10.851845075543034 44.666961858664784, 10.864474924456966 44.666961858664784, 10.864474924456966 44.65791814133521, 10.851845075543034 44.65791814133521))",1,1,51.265494999999994,,0,0,3,0,0,0,6,0,0,0,1,0,0,2,residential,yes,4,service,109.23076923076923,13,28
8,8109.0,41.04907,14.3231,CCS2_400,1.0,1,0.0,4.0,451.3141865079365,"POLYGON ((14.317144193907964 41.04454814133521, 14.317144193907964 41.05359185866479, 14.329055806092036 41.05359185866479, 14.329055806092036 41.04454814133521, 14.317144193907964 41.04454814133521))",2,1,4694.649642,,2,0,2,1,0,0,22,0,5,0,2,0,0,0,residential,yes,2,service,40.0,53,104
9,8110.0,45.57585,9.39382,CCS2_400,1.0,1,0.0,4.0,429.0775862068965,"POLYGON ((9.387403165507846 45.571328141335215, 9.387403165507846 45.58037185866479, 9.400236834492153 45.58037185866479, 9.400236834492153 45.571328141335215, 9.387403165507846 45.571328141335215))",1,1,27.02057099999998,,0,0,1,0,0,0,3,0,0,0,2,0,0,0,commercial,yes,2,service,57.333333333333336,15,27
10,8111.0,44.51957,11.21374,CCS2_400,1.0,1,0.0,4.0,409.43055555555554,"POLYGON ((11.207440579868084 44.515048141335214, 11.207440579868084 44.52409185866479, 11.220039420131915 44.52409185866479, 11.220039420131915 44.515048141335214, 11.207440579868084 44.515048141335214))",2,1,148.513848,,0,0,2,0,0,0,12,0,1,0,1,0,0,0,residential,yes,3,service,49.23076923076923,2,2
11,8112.0,44.51956,11.21367,CCS2_400,1.0,1,0.0,4.0,431.5444444444445,"POLYGON ((11.207370580949256 44.51503814133521, 11.207370580949256 44.524081858664786, 11.219969419050745 44.524081858664786, 11.219969419050745 44.51503814133521, 11.207370580949256 44.51503814133521))",2,1,148.513848,,0,0,2,0,0,0,12,0,1,0,1,0,0,0,residential,yes,3,service,49.23076923076923,2,2
12,8113.0,41.04907707432876,14.323144528269848,CCS2_400,4.0,2,0.0,4.0,433.03144385026735,"POLYGON ((14.317188721537464 41.04455521566397, 14.317188721537464 41.053598932993545, 14.329100335002233 41.053598932993545, 14.329100335002233 41.04455521566397, 14.317188721537464 41.04455521566397))",2,1,4694.649642,,2,0,2,1,0,0,22,0,5,0,2,0,0,0,residential,yes,2,service,40.0,53,104
13,8114.0,41.23408,14.09174,CCS2_400,1.0,1,326000.0,4.0,419.9196428571429,"POLYGON ((14.085767368866454 41.22955814133521, 14.085767368866454 41.23860185866479, 14.097712631133545 41.23860185866479, 14.097712631133545 41.22955814133521, 14.085767368866454 41.22955814133521))",1,1,127.20679899999998,,0,0,1,0,0,0,6,0,0,0,0,0,0,0,Other,yes,3,service,97.0,12,24
14,8115.0,41.23402,14.09175,CCS2_400,4.0,2,0.0,4.0,448.2265325670498,"POLYGON ((14.085777374348444 41.22949814133521, 14.085777374348444 41.23854185866479, 14.097722625651555 41.23854185866479, 14.097722625651555 41.22949814133521, 14.085777374348444 41.22949814133521))",1,1,127.20679899999998,,0,0,1,0,0,0,6,0,0,0,0,0,0,0,Other,yes,3,service,97.0,12,24
15,8116.0,44.5183,11.21429,CCS2_400,1.0,1,111700.0,4.0,417.0457142857143,"POLYGON ((11.207990717172267 44.513778141335216, 11.207990717172267 44.52282185866479, 11.220589282827733 44.52282185866479, 11.220589282827733 44.513778141335216, 11.207990717172267 44.513778141335216))",2,1,150.0818,,0,0,2,0,0,0,12,0,1,0,1,0,0,0,residential,yes,3,service,49.23076923076923,2,2
16,8117.0,45.57584,9.39376,CCS2_400,4.0,2,0.0,4.0,451.09214285714285,"POLYGON ((9.387343166650536 45.57131814133521, 9.387343166650536 45.58036185866479, 9.400176833349464 45.58036185866479, 9.400176833349464 45.57131814133521, 9.387343166650536 45.57131814133521))",1,1,27.061754999999977,,0,0,1,0,0,0,3,0,0,0,2,0,0,0,commercial,yes,2,service,56.25,15,27
17,8118.0,44.51834,11.21432,CCS2_400,4.0,2,0.0,4.0,418.34558823529414,"POLYGON ((11.208020712847865 44.513818141335214, 11.208020712847865 44.52286185866479, 11.220619287152136 44.52286185866479, 11.220619287152136 44.513818141335214, 11.208020712847865 44.513818141335214))",2,1,150.0818,,0,0,2,0,0,0,12,0,1,0,1,0,0,0,residential,yes,3,service,49.23076923076923,2,2
18,8896.0,44.96265,9.90435,CCS2_400,4.0,2,0.0,4.0,420.3246828752643,"POLYGON ((9.898002117477107 44.95812814133521, 9.898002117477107 44.967171858664784, 9.910697882522895 44.967171858664784, 9.910697882522895 44.95812814133521, 9.898002117477107 44.95812814133521))",2,1,55.266502999999986,,0,0,2,0,0,0,2,0,0,0,0,0,0,1,Other,yes,2,service,66.89655172413794,4,3
19,8897.0,44.96261,9.90443,CCS2_400,4.0,2,250000.0,4.0,444.4311507936508,"POLYGON ((9.898082121902986 44.95808814133521, 9.898082121902986 44.967131858664786, 9.910777878097013 44.967131858664786, 9.910777878097013 44.95808814133521, 9.898082121902986 44.95808814133521))",2,1,55.266502999999986,,0,0,2,0,0,0,2,0,0,0,0,0,0,1,Other,yes,2,service,66.89655172413794,4,3
20,8932.0,45.07489,8.50897,CCS2_400,4.0,2,0.0,4.0,423.4661904761905,"POLYGON ((8.502609661882534 45.070368141335216, 8.502609661882534 45.07941185866479, 8.515330338117465 45.07941185866479, 8.515330338117465 45.070368141335216, 8.502609661882534 45.070368141335216))",2,1,9.647091999999999,,0,0,1,0,0,0,8,0,0,0,0,0,0,0,Other,yes,3,service,50.588235294117645,0,0
21,8933.0,45.07462,8.51099,CCS2_400,4.0,2,0.0,4.0,467.30868055555555,"POLYGON ((8.504629691933165 45.070098141335215, 8.504629691933165 45.07914185866479, 8.517350308066835 45.07914185866479, 8.517350308066835 45.070098141335215, 8.504629691933165 45.070098141335215))",2,1,14.328769,,0,0,1,0,0,0,8,0,0,0,0,0,0,0,Other,yes,3,service,50.588235294117645,0,0
22,8934.0,45.07469,8.51101,CCS2_400,1.0,1,100000.0,4.0,431.479435483871,"POLYGON ((8.5046496841423 45.07016814133521, 8.5046496841423 45.079211858664785, 8.5173703158577 45.079211858664785, 8.5173703158577 45.07016814133521, 8.5046496841423 45.07016814133521))",2,1,14.328769,,0,0,1,0,0,0,8,0,0,0,0,0,0,0,Other,yes,3,service,50.588235294117645,0,0
23,8935.0,45.0749,8.50907,CCS2_400,1.0,1,0.0,4.0,437.26666666666665,"POLYGON ((8.50270966076954 45.07037814133521, 8.50270966076954 45.07942185866479, 8.515430339230459 45.07942185866479, 8.515430339230459 45.07037814133521, 8.50270966076954 45.07037814133521))",2,1,10.640175,,0,0,1,0,0,0,8,0,0,0,0,0,0,0,Other,yes,3,service,50.588235294117645,0,0
24,8936.0,44.88013,11.56906,CCS2_400,4.0,2,230000.0,4.0,461.70909090909095,"POLYGON ((11.562721228393428 44.87560814133521, 11.562721228393428 44.88465185866479, 11.575398771606572 44.88465185866479, 11.575398771606572 44.87560814133521, 11.562721228393428 44.87560814133521))",2,1,25.109385999999997,,0,0,0,0,0,0,26,0,0,0,0,0,0,2,residential,yes,2,service,130.0,0,0
25,9005.0,42.03136484930663,11.96287806209704,CCS2_400,4.0,2,100000.0,4.0,441.09191176470586,"POLYGON ((11.956831096054936 42.02684299064184, 11.956831096054936 42.035886707971414, 11.968925028139145 42.035886707971414, 11.968925028139145 42.02684299064184, 11.956831096054936 42.02684299064184))",1,1,0.0,,0,0,1,0,0,0,3,0,0,0,0,0,0,0,Other,yes,1,service,130.0,0,0
26,9006.0,44.88008,11.56906,CCS2_400,4.0,2,0.0,4.0,415.9838345864662,"POLYGON ((11.562721233901945 44.87555814133521, 11.562721233901945 44.88460185866479, 11.575398766098056 44.88460185866479, 11.575398766098056 44.87555814133521, 11.562721233901945 44.87555814133521))",2,1,25.109385999999997,,0,0,0,0,0,0,26,0,0,0,0,0,0,2,residential,yes,2,service,130.0,0,0
27,9007.0,40.92538,14.7831,CCS2_400,4.0,2,100000.0,4.0,425.3579545454545,"POLYGON ((14.77715535516287 40.92085814133521, 14.77715535516287 40.929901858664785, 14.789044644837128 40.929901858664785, 14.789044644837128 40.92085814133521, 14.77715535516287 40.92085814133521))",2,1,4500.0636190000005,,2,0,3,1,0,0,6,0,2,0,4,0,0,3,Other,yes,2,residential,80.0,102,214
28,9008.0,45.57416179644078,9.392527994720972,CCS2_400,4.0,2,0.0,4.0,460.82124999999996,"POLYGON ((9.38611135312961 45.56963993777599, 9.38611135312961 45.578683655105564, 9.398944636312333 45.578683655105564, 9.398944636312333 45.56963993777599, 9.38611135312961 45.56963993777599))",1,1,26.629877999999984,,0,0,1,0,0,0,3,0,0,0,2,0,0,0,commercial,yes,2,service,55.45454545454545,4,3
29,9009.0,43.99436,12.61855,CCS2_400,4.0,2,0.0,4.0,430.5135135135135,"POLYGON ((12.612306596017676 43.98983814133521, 12.612306596017676 43.99888185866479, 12.624793403982325 43.99888185866479, 12.624793403982325 43.98983814133521, 12.612306596017676 43.98983814133521))",1,1,1266.079171,,0,0,0,0,0,0,16,0,7,0,0,0,0,0,residential,yes,3,residential,62.10526315789474,73,157
30,9010.0,45.32151,9.37723,CCS2_400,1.0,1,214000.0,4.0,475.84806034482756,"POLYGON ((9.370842034903111 45.316988141335216, 9.370842034903111 45.32603185866479, 9.38361796509689 45.32603185866479, 9.38361796509689 45.316988141335216, 9.370842034903111 45.316988141335216))",1,1,9.684773999999999,,0,0,1,0,0,0,2,0,0,0,0,0,0,1,Other,yes,3,service,130.0,9,16
31,9087.0,42.5483537,14.1012901,CCS2_400,4.0,2,0.0,4.0,448.9629464285714,"POLYGON ((14.095193298494513 42.54383184133521, 14.095193298494513 42.55287555866479, 14.107386901505487 42.55287555866479, 14.107386901505487 42.54383184133521, 14.095193298494513 42.54383184133521))",1,1,486.706725,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,residential,yes,2,track,111.81818181818181,5,10
32,9088.0,42.53072,14.12426,CCS2_400,1.0,1,0.0,4.0,451.67086894586896,"POLYGON ((14.118164920028649 42.526198141335215, 14.118164920028649 42.53524185866479, 14.13035507997135 42.53524185866479, 14.13035507997135 42.526198141335215, 14.118164920028649 42.526198141335215))",2,1,479.315129,,0,0,2,0,0,0,15,0,0,0,16,0,0,0,residential,yes,2,service,63.673469387755105,16,34
33,9218.0,43.62697,13.33526,CCS2_400,4.0,2,0.0,4.0,480.12777777777774,"POLYGON ((13.32905488366983 43.62244814133521, 13.32905488366983 43.63149185866479, 13.34146511633017 43.63149185866479, 13.34146511633017 43.62244814133521, 13.32905488366983 43.62244814133521))",1,1,54.967023,,0,0,2,0,0,0,9,0,0,0,0,0,0,0,Other,yes,1,service,61.81818181818182,24,37
34,9219.0,43.62697,13.33516,CCS2_400,1.0,1,0.0,4.0,443.4708823529412,"POLYGON ((13.32895488366983 43.62244814133521, 13.32895488366983 43.63149185866479, 13.34136511633017 43.63149185866479, 13.34136511633017 43.62244814133521, 13.32895488366983 43.62244814133521))",1,1,57.842938,,0,0,2,0,0,0,9,0,0,0,0,0,0,0,Other,yes,1,service,61.81818181818182,24,37
35,9262.0,40.92542,14.78317,CCS2_400,4.0,2,0.0,4.0,467.24369747899163,"POLYGON ((14.77722535156468 40.920898141335215, 14.77722535156468 40.92994185866479, 14.789114648435321 40.92994185866479, 14.789114648435321 40.920898141335215, 14.77722535156468 40.920898141335215))",2,1,4500.0636190000005,,1,0,3,1,0,0,6,0,2,0,4,0,0,3,Other,yes,2,residential,80.0,100,210
