,chargerId,gpsLat,gpsLong,type,physicalPosition,session.position,carChargeParameter.maxPower,numberStacks,average_current_all_months,polygon,number_charging_station,population_density,amenity_school_count,amenity_university_count,amenity_restaurant_count,amenity_place_of_worship_count,amenity_community_centre_count,amenity_townhall_count,amenity_parking_count,amenity_library_count,leisure_park_count,leisure_cinema_count,building_commercial_count,building_government_count,building_civic_count,building_retail_count,land_use,oneway,lanes,highway,maxspeed,node_count,edge_count
0,6590.0,44.66229,10.85797,CCS2_400,1.0,1,130000.0,4.0,464.37551020408165,"POLYGON ((10.85481254594087 44.660029070667605, 10.85481254594087 44.66455092933239, 10.86112745405913 44.66455092933239, 10.86112745405913 44.660029070667605, 10.85481254594087 44.660029070667605))",1,0.09059223622047244,0,0,2,0,0,0,6,0,0,0,1,0,0,2,residential,yes,4,service,94.0,0,0
1,6708.0,42.49927,12.31106,CCS2_400,1.0,1,326000.0,4.0,419.5046296296296,"POLYGON ((12.308013993284971 42.49700907066761, 12.308013993284971 42.5015309293324, 12.314106006715027 42.5015309293324, 12.314106006715027 42.49700907066761, 12.308013993284971 42.49700907066761))",1,0.308648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,yes,2,service,85.0,0,0
2,6709.0,44.66229,10.85801,CCS2_400,1.0,1,326000.0,4.0,459.5734838121295,"POLYGON ((10.85485254594087 44.660029070667605, 10.85485254594087 44.66455092933239, 10.86116745405913 44.66455092933239, 10.86116745405913 44.660029070667605, 10.85485254594087 44.660029070667605))",1,0.09059223622047244,0,0,2,0,0,0,6,0,0,0,1,0,0,2,residential,yes,4,service,94.0,0,0
3,6710.0,42.49929,12.31107,CCS2_400,4.0,2,326000.0,4.0,472.37107758620687,"POLYGON ((12.308023992310702 42.49702907066761, 12.308023992310702 42.501550929332396, 12.3141160076893 42.501550929332396, 12.3141160076893 42.49702907066761, 12.308023992310702 42.49702907066761))",1,0.308648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,yes,2,service,85.0,0,0
4,6724.0,45.321012,9.375258,CCS2_400,1.0,1,129000.0,4.0,395.64254658385096,"POLYGON ((9.372064045525773 45.31875107066761, 9.372064045525773 45.3232729293324, 9.378451954474228 45.3232729293324, 9.378451954474228 45.31875107066761, 9.372064045525773 45.31875107066761))",1,0.09569934782608695,0,0,1,0,0,0,2,0,0,0,0,0,0,1,Other,yes,3,service,130.0,5,8
5,6725.0,43.48079,13.59624,CCS2_400,1.0,1,0.0,4.0,497.47730263157894,"POLYGON ((13.593144958530578 43.478529070667605, 13.593144958530578 43.48305092933239, 13.599335041469422 43.48305092933239, 13.599335041469422 43.478529070667605, 13.593144958530578 43.478529070667605))",1,0.00738080357142857,0,0,2,0,0,0,16,0,0,0,1,0,0,1,commercial,yes,1,service,51.5,2,2
6,6726.0,45.32181749999999,9.3746729,CCS2_400,4.0,2,0.0,4.0,422.7735507246377,"POLYGON ((9.371478900116204 45.319556570667594, 9.371478900116204 45.32407842933238, 9.377866899883797 45.32407842933238, 9.377866899883797 45.319556570667594, 9.371478900116204 45.319556570667594))",1,0.09250936956521738,0,0,1,0,0,0,2,0,0,0,0,0,0,1,Other,yes,3,service,130.0,4,6
7,6772.0,44.66244,10.85816,CHAdeMO,1.0,1,0.0,1.0,0.0,"POLYGON ((10.855002537771517 44.6601790706676, 10.855002537771517 44.66470092933239, 10.861317462228483 44.66470092933239, 10.861317462228483 44.6601790706676, 10.855002537771517 44.6601790706676))",1,0.103775352,0,0,2,0,0,0,5,0,0,0,1,0,0,2,residential,yes,4,service,94.0,2,2
8,8109.0,41.04907,14.3231,CCS2_400,1.0,1,0.0,4.0,451.3141865079365,"POLYGON ((14.320122096953982 41.04680907066761, 14.320122096953982 41.051330929332394, 14.326077903046018 41.051330929332394, 14.326077903046018 41.04680907066761, 14.320122096953982 41.04680907066761))",2,3.633355539393939,0,0,2,0,0,0,21,0,2,0,0,0,0,0,residential,yes,2,service,45.0,10,16
9,8110.0,45.57585,9.39382,CCS2_400,1.0,1,0.0,4.0,429.0775862068965,"POLYGON ((9.390611582753923 45.57358907066761, 9.390611582753923 45.5781109293324, 9.397028417246077 45.5781109293324, 9.397028417246077 45.57358907066761, 9.390611582753923 45.57358907066761))",1,0.03359488757396443,0,0,1,0,0,0,2,0,0,0,2,0,0,0,commercial,yes,1,service,65.0,0,0
10,8111.0,44.51957,11.21374,CCS2_400,1.0,1,0.0,4.0,409.43055555555554,"POLYGON ((11.210590289934041 44.51730907066761, 11.210590289934041 44.521830929332395, 11.216889710065958 44.521830929332395, 11.216889710065958 44.51730907066761, 11.210590289934041 44.51730907066761))",2,0.5727025488721804,0,0,2,0,0,0,11,0,0,0,1,0,0,0,residential,yes,3,service,49.6,0,0
11,8112.0,44.51956,11.21367,CCS2_400,1.0,1,0.0,4.0,431.5444444444445,"POLYGON ((11.210520290474628 44.517299070667605, 11.210520290474628 44.52182092933239, 11.216819709525373 44.52182092933239, 11.216819709525373 44.517299070667605, 11.210520290474628 44.517299070667605))",2,0.5727025488721804,0,0,2,0,0,0,11,0,0,0,1,0,0,0,residential,yes,3,service,49.6,0,0
12,8113.0,41.04907707432876,14.323144528269848,CCS2_400,4.0,2,0.0,4.0,433.03144385026735,"POLYGON ((14.320166624903656 41.04681614499636, 14.320166624903656 41.05133800366115, 14.32612243163604 41.05133800366115, 14.32612243163604 41.04681614499636, 14.320166624903656 41.04681614499636))",2,3.6997493827160497,0,0,2,0,0,0,20,0,2,0,0,0,0,0,residential,yes,2,service,45.0,10,16
13,8114.0,41.23408,14.09174,CCS2_400,1.0,1,326000.0,4.0,419.9196428571429,"POLYGON ((14.088753684433227 41.231819070667605, 14.088753684433227 41.23634092933239, 14.094726315566772 41.23634092933239, 14.094726315566772 41.231819070667605, 14.088753684433227 41.231819070667605))",1,1.0161205121951218,0,0,1,0,0,0,4,0,0,0,0,0,0,0,Other,yes,3,service,64.0,0,0
14,8115.0,41.23402,14.09175,CCS2_400,4.0,2,0.0,4.0,448.2265325670498,"POLYGON ((14.088763687174222 41.23175907066761, 14.088763687174222 41.236280929332395, 14.094736312825777 41.236280929332395, 14.094736312825777 41.23175907066761, 14.088763687174222 41.23175907066761))",1,0.9751678837209301,0,0,1,0,0,0,4,0,0,0,0,0,0,0,Other,yes,3,service,64.0,0,0
15,8116.0,44.5183,11.21429,CCS2_400,1.0,1,111700.0,4.0,417.0457142857143,"POLYGON ((11.211140358586134 44.51603907066761, 11.211140358586134 44.5205609293324, 11.217439641413867 44.5205609293324, 11.217439641413867 44.51603907066761, 11.211140358586134 44.51603907066761))",2,0.5182098114754098,0,0,2,0,0,0,12,0,0,0,1,0,0,0,residential,yes,3,service,49.23076923076923,2,2
16,8117.0,45.57584,9.39376,CCS2_400,4.0,2,0.0,4.0,451.09214285714285,"POLYGON ((9.39055158332527 45.573579070667606, 9.39055158332527 45.57810092933239, 9.396968416674731 45.57810092933239, 9.396968416674731 45.573579070667606, 9.39055158332527 45.573579070667606))",1,0.03359488757396443,0,0,1,0,0,0,2,0,0,0,2,0,0,0,commercial,yes,1,service,65.0,0,0
17,8118.0,44.51834,11.21432,CCS2_400,4.0,2,0.0,4.0,418.34558823529414,"POLYGON ((11.211170356423933 44.51607907066761, 11.211170356423933 44.520600929332396, 11.217469643576068 44.520600929332396, 11.217469643576068 44.51607907066761, 11.211170356423933 44.51607907066761))",2,0.5182098114754098,0,0,2,0,0,0,12,0,0,0,1,0,0,0,residential,yes,3,service,49.23076923076923,2,2
18,8896.0,44.96265,9.90435,CCS2_400,4.0,2,0.0,4.0,420.3246828752643,"POLYGON ((9.901176058738555 44.9603890706676, 9.901176058738555 44.96491092933239, 9.907523941261447 44.96491092933239, 9.907523941261447 44.9603890706676, 9.901176058738555 44.9603890706676))",2,0.2524713269230769,0,0,1,0,0,0,2,0,0,0,0,0,0,1,Other,yes,1,service,85.0,0,0
19,8897.0,44.96261,9.90443,CCS2_400,4.0,2,250000.0,4.0,444.4311507936508,"POLYGON ((9.901256060951493 44.960349070667604, 9.901256060951493 44.96487092933239, 9.907603939048506 44.96487092933239, 9.907603939048506 44.960349070667604, 9.901256060951493 44.960349070667604))",2,0.2519371176470588,0,0,1,0,0,0,2,0,0,0,0,0,0,1,Other,yes,1,service,76.0,0,0
20,8932.0,45.07489,8.50897,CCS2_400,4.0,2,0.0,4.0,423.4661904761905,"POLYGON ((8.505789830941266 45.07262907066761, 8.505789830941266 45.0771509293324, 8.512150169058733 45.0771509293324, 8.512150169058733 45.07262907066761, 8.505789830941266 45.07262907066761))",2,0.11664784444444444,0,0,1,0,0,0,8,0,0,0,0,0,0,0,Other,yes,3,service,50.588235294117645,0,0
21,8933.0,45.07462,8.51099,CCS2_400,4.0,2,0.0,4.0,467.30868055555555,"POLYGON ((8.507809845966582 45.07235907066761, 8.507809845966582 45.0768809293324, 8.514170154033417 45.0768809293324, 8.514170154033417 45.07235907066761, 8.507809845966582 45.07235907066761))",2,0.09059104819277108,0,0,1,0,0,0,8,0,0,0,0,0,0,0,Other,yes,3,service,50.588235294117645,0,0
22,8934.0,45.07469,8.51101,CCS2_400,1.0,1,100000.0,4.0,431.479435483871,"POLYGON ((8.507829842071152 45.0724290706676, 8.507829842071152 45.07695092933239, 8.51419015792885 45.07695092933239, 8.51419015792885 45.0724290706676, 8.507829842071152 45.0724290706676))",2,0.09639816666666667,0,0,1,0,0,0,8,0,0,0,0,0,0,0,Other,yes,3,service,50.588235294117645,0,0
23,8935.0,45.0749,8.50907,CCS2_400,1.0,1,0.0,4.0,437.26666666666665,"POLYGON ((8.505889830384769 45.072639070667606, 8.505889830384769 45.07716092933239, 8.51225016961523 45.07716092933239, 8.51225016961523 45.072639070667606, 8.505889830384769 45.072639070667606))",2,0.12497983333333333,0,0,1,0,0,0,8,0,0,0,0,0,0,0,Other,yes,3,service,50.588235294117645,0,0
24,8936.0,44.88013,11.56906,CCS2_400,4.0,2,230000.0,4.0,461.70909090909095,"POLYGON ((11.565890614196714 44.87786907066761, 11.565890614196714 44.882390929332395, 11.572229385803286 44.882390929332395, 11.572229385803286 44.87786907066761, 11.565890614196714 44.87786907066761))",2,0.39853399999999994,0,0,0,0,0,0,26,0,0,0,0,0,0,2,Other,yes,2,service,130.0,0,0
