geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,civic_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
"POLYGON ((270025.0236539849 4624611.065670625, 270085.6646290136 4624625.855461748, 270098.37692709186 4624627.147406542, 270169.3800571115 4624634.357554227, 270284.5980867887 4624685.909718111, 270329.1039278301 4624710.079976299, 270520.6173607438 4624710.079976298, 270520.61736074387 4624469.402592943, 270496.5392979487 4624463.212008846, 270477.8534400447 4624466.457142135, 270469.6094869175 4624472.101539667, 270466.75447387935 4624481.974639663, 270467.1733310891 4624504.102876775, 270449.7312769905 4624509.264463943, 270432.373446386 4624498.895309412, 270416.95091610786 4624477.237603279, 270394.3923761078 4624439.725179441, 270386.22454236867 4624437.10855607, 270404.0006799526 4624424.455497082, 270422.0936717352 4624430.488258683, 270436.3990938661 4624435.49776815, 270445.1907712189 4624448.731767727, 270457.58105395036 4624451.6575370915, 270469.2129187284 4624435.622735995, 270459.26929983735 4624419.958086112, 270442.099234993 4624419.075337117, 270406.5712770277 4624403.131618333, 270268.6361284487 4624425.890388289, 270112.38698714995 4624476.650995353, 270073.9958288326 4624501.660939611, 270051.3723257583 4624531.832913365, 270034.1402533511 4624567.333695278, 270025.0236539849 4624611.065670625))",0,[],1.8763620413223145,Other,21,58,0.1380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,No,{'unclassified'},2.0,50.0,Rome
"POLYGON ((270329.1039278301 4624710.079976299, 270335.1889441423 4624713.384630516, 270375.11497000215 4624746.815567647, 270453.4965197141 4624772.053944158, 270520.61736074375 4624792.210253496, 270520.6173607438 4624710.079976298, 270329.1039278301 4624710.079976299))",0,[],1.3949884545454545,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Rome
"POLYGON ((270520.61736074375 4624792.210253496, 270527.06463119877 4624794.146361204, 270562.4461703552 4624813.118588196, 270586.30791283934 4624823.068135486, 270600.37339644413 4624828.930371116, 270605.9072415398 4624822.117010606, 270597.19126358 4624813.815621108, 270608.4576375237 4624786.399565912, 270634.86346847774 4624795.467361855, 270643.80512618786 4624768.75951454, 270651.3545818069 4624771.31842528, 270643.0364950796 4624798.261912097, 270666.806841003 4624806.402862324, 270675.15172862104 4624783.926893259, 270692.00325038907 4624790.222377899, 270683.923475915 4624813.178894815, 270688.3933943054 4624814.98072319, 270696.7308574341 4624792.271600197, 270732.89455324656 4624805.017228814, 270724.8146728602 4624827.973695463, 270742.4058293619 4624834.23445759, 270751.56888374814 4624814.422256555, 270757.5106245427 4624816.432591604, 270755.3155556184 4624824.305887979, 270785.34494820517 4624837.092815152, 270780.64445384743 4624853.027182381, 270779.46637467283 4624859.645189756, 270776.2355314691 4624865.851046016, 270769.7104520496 4624868.49446916, 270632.5489079469 4624824.785931799, 270626.23779366934 4624827.611583017, 270622.27721721074 4624835.719409228, 270628.34448566043 4624841.382542713, 270638.84806366253 4624842.090459513, 270646.13722235657 4624841.467621026, 270674.2578412849 4624850.280467967, 270823.8713453105 4624900.193117368, 270834.25149827986 4624903.028285041, 270840.83068089106 4624894.280903639, 270865.57013321493 4624825.651627845, 270876.69002373354 4624828.707694659, 270877.8848827954 4624825.46821266, 270992.2384093269 4624865.910275927, 270971.8233998778 4624923.5186936315, 270859.30927756114 4624897.590178196, 270850.07479873823 4624907.645314883, 270916.09857006813 4624923.525352573, 270977.7892209385 4624937.721862654, 271005.86083217885 4624941.913579861, 271016.2110675026 4624942.875085129, 271016.2110675025 4624710.079976298, 270520.6173607438 4624710.079976298, 270520.61736074375 4624792.210253496))",0,[],1.5312974027777777,Other,2,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,{'unclassified'},2.0,50.0,Rome
"POLYGON ((271016.2110675025 4624710.079976298, 271016.2110675026 4624387.4017266445, 271009.1765378127 4624391.1137109, 270989.6364160893 4624398.108439596, 270953.2685440868 4624402.685502641, 270913.78093604813 4624401.093686955, 270900.632199932 4624365.390328942, 270896.71247369586 4624366.216157695, 270923.61567807803 4624439.381916129, 270878.42242513946 4624455.62409973, 270858.430865263 4624462.811516138, 270863.6837123977 4624475.7925578235, 270830.2175101992 4624488.291410974, 270774.1943328489 4624509.22742228, 270639.92012416694 4624559.383216331, 270636.8026731423 4624552.513919927, 270631.811287141 4624554.1856908705, 270629.7612606337 4624549.449640874, 270624.4036961091 4624551.644464989, 270622.7140183139 4624546.463362305, 270617.2112788339 4624548.284928577, 270589.7304735055 4624475.37205789, 270585.13717003685 4624476.997741963, 270566.7603227487 4624517.380031744, 270557.06623128266 4624512.855899751, 270575.6519153174 4624471.977809948, 270569.9796553728 4624469.814458329, 270613.52720915276 4624376.327378634, 270640.33967019676 4624338.842578346, 270671.7703277882 4624317.371422605, 270803.47301775485 4624266.576508481, 270826.6375287743 4624269.535569369, 270872.642211096 4624300.67369395, 270923.70092546975 4624307.930261922, 270928.7132525834 4624307.4251422165, 270937.3110523486 4624310.473217376, 270941.78103765415 4624307.851350401, 270944.80147424026 4624301.041004155, 270944.3836499732 4624293.973975631, 270940.85204835766 4624286.384221459, 270917.1927682613 4624289.287267089, 270898.1582705638 4624288.163017455, 270874.3751314459 4624284.601097161, 270851.3547846623 4624222.737539093, 270862.6974666065 4624213.0613727905, 270834.5527991289 4624213.06137279, 270815.91493451176 4624235.777561681, 270626.93585197505 4624318.075621186, 270592.67730075156 4624364.024628592, 270561.45841574605 4624456.438263888, 270531.47705655184 4624472.19467222, 270520.61736074387 4624469.402592943, 270520.6173607438 4624710.079976298, 271016.2110675025 4624710.079976298))",0,[],1.56137916,Other,4,6,0.5,0,0,0,0,0,0,3,0,0,0,0,0,0,No,{'unclassified'},2.0,50.0,Rome
"POLYGON ((270862.6974666065 4624213.0613727905, 270867.6275410242 4624208.85564612, 270877.66042986524 4624207.578311722, 270890.8229483315 4624199.520471107, 270894.7723590093 4624187.9230201915, 270882.51771451824 4624177.022498768, 270858.44554715115 4624183.940430643, 270834.5527991289 4624213.06137279, 270862.6974666065 4624213.0613727905))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Rome
"POLYGON ((271016.2110675026 4624942.875085129, 271026.859657366 4624943.864306625, 271033.79927556764 4624932.849178412, 271040.6264578314 4624935.220415942, 271037.48197939 4624948.548249664, 271203.4612088832 4624977.025591333, 271216.3703804873 4624967.3313138485, 271218.6476366786 4624958.1106175855, 271239.81240655435 4624961.090366581, 271237.7023504663 4624971.895182202, 271219.6140404551 4624969.06154112, 271213.26834681333 4624977.3120069355, 271240.54518772784 4624980.351838343, 271269.78075152804 4624986.8526388975, 271304.94943171414 4624991.463156475, 271365.0710615645 4625002.7230942, 271364.4932774954 4625005.22026183, 271387.3839609713 4625011.157465882, 271427.67229529313 4625011.092108378, 271432.22315798333 4625011.791385729, 271439.2074651676 4624992.783428496, 271453.00190030533 4624979.004250958, 271463.26016172627 4624975.17507894, 271470.3822127813 4624975.058598396, 271506.2958682246 4624982.147206759, 271491.22984241 4625011.361462062, 271465.65538085357 4625007.921710169, 271446.9810172963 4625004.1947934525, 271442.774089613 4625012.432251275, 271444.70562104473 4625015.304923059, 271449.22904302087 4625017.750174899, 271501.94124250545 4625024.057274758, 271511.80477426155 4625029.982850705, 271511.8047742614 4624710.079976298, 271016.2110675025 4624710.079976298, 271016.2110675026 4624942.875085129))",0,[],0.7588759285714287,Other,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,No,{'unclassified'},2.0,50.0,Rome
"POLYGON ((271511.8047742614 4624710.079976298, 271511.80477426155 4624213.06137279, 271468.8288294893 4624213.0613727905, 271458.3104350511 4624216.999239221, 271427.4671913564 4624228.533221599, 271425.9618819826 4624229.103744747, 271437.3671605728 4624259.8284238335, 271391.83141981054 4624276.878441828, 271346.8886537325 4624293.720848253, 271330.1111431072 4624248.351492561, 271328.2517697189 4624249.044509741, 271276.5985441684 4624268.224920718, 271224.78897456045 4624287.455186238, 271222.95421516005 4624288.136329642, 271240.4422690884 4624333.316024049, 271196.6457369882 4624350.056068744, 271164.7338316188 4624362.247897426, 271160.12820314534 4624348.923620133, 271145.7239822467 4624353.819517431, 271095.1880811062 4624372.498733432, 271069.3307929437 4624302.5668464545, 271066.0170824033 4624304.640316249, 271075.94816201023 4624333.477668542, 271071.41304343037 4624338.746959543, 271070.7046440225 4624347.306133174, 271026.19713777455 4624382.132271932, 271016.2110675026 4624387.4017266445, 271016.2110675025 4624710.079976298, 271511.8047742614 4624710.079976298))",0,[],1.2866865517241382,Other,1,1,0.0,0,0,2,0,0,0,5,0,0,0,0,0,0,No,{'unclassified'},2.0,50.0,Rome
"POLYGON ((271511.80477426155 4624213.06137279, 271511.8047742613 4624145.651550253, 271502.2799607805 4624141.789529023, 271487.0514423261 4624131.327617904, 271451.32240769337 4624119.986909498, 271413.776526599 4624109.893762983, 271377.37140932167 4624103.976998214, 271355.99057500425 4624102.1262119785, 271334.7900628131 4624100.447566684, 271321.59392630635 4624100.702748154, 271085.06148751336 4624164.579074309, 271075.1480156429 4624166.207976513, 271065.1943837462 4624166.582157496, 271056.258830364 4624164.689601724, 271049.31230481237 4624161.733013488, 271045.6467861094 4624159.060431457, 271043.1406652998 4624156.195122483, 271040.6528125882 4624153.640455891, 271038.1836568762 4624151.929949023, 271035.49193308013 4624150.548909814, 271025.52090328804 4624145.69954237, 271016.80253541504 4624142.010527528, 271016.21106750274 4624141.763756891, 271016.21106750245 4624172.704789288, 271017.0541795664 4624173.01397115, 271029.38886073546 4624183.3008079, 271036.52856567496 4624197.233040484, 271038.21033807436 4624207.116217658, 271035.82048933243 4624213.0613727905, 271061.00918685243 4624213.061372789, 271064.7088282397 4624205.51211441, 271265.25980074424 4624146.409206307, 271294.05212500494 4624138.68594061, 271331.2920929432 4624134.26067982, 271358.3555836598 4624133.3954544505, 271390.3952845986 4624138.184516049, 271432.94051669555 4624148.929169858, 271469.0681600957 4624153.988079266, 271488.72554873675 4624205.6124581015, 271468.8288294893 4624213.0613727905, 271511.80477426155 4624213.06137279))",0,[],1.52736,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Rome
"POLYGON ((271035.82048933243 4624213.0613727905, 271033.9691199084 4624217.66696905, 271018.4355148778 4624240.861594952, 271016.2110675025 4624242.673753146, 271016.2110675026 4624266.609040675, 271030.1319619215 4624250.979901132, 271049.1004648912 4624230.2763049295, 271051.0804424831 4624226.589355955, 271054.43215215055 4624226.48206121, 271061.00918685243 4624213.061372789, 271035.82048933243 4624213.0613727905))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Rome
"POLYGON ((271511.80477426155 4625029.982850705, 271671.57604400336 4625125.966400656, 271839.57801268646 4625207.098579806, 272007.39848102024 4625207.098579806, 272007.39848102024 4624710.079976298, 271511.8047742614 4624710.079976298, 271511.80477426155 4625029.982850705))",0,[],0.7276810108695654,Other,6,10,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,No,{'unclassified'},2.0,50.0,Rome
