geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,civic_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
"POLYGON ((-84550.54506561765 5014464.283822774, -84330.6157440854 5014720.464269957, -84265.34019061178 5014673.144378129, -84261.09966268286 5014680.550746951, -84250.15770011547 5014676.820229893, -84229.88017237082 5014663.905900908, -84191.43888513185 5014642.3724286435, -84186.59651031333 5014635.451106059, -84185.92110245395 5014626.661953499, -84196.36728741683 5014569.829513039, -84189.74823914375 5014565.209110016, -84173.38207872573 5014546.213845974, -84150.5176282752 5014523.785703156, -84135.85376855254 5014511.052874879, -84080.71759355674 5014457.17498536, -84068.5774749252 5014447.822784049, -84047.92244785605 5014471.8770523975, -84053.9678526012 5014390.726483936, -84527.607657091 5014426.010722288, -84550.54506561765 5014464.283822774))",0,[],0.02228776785714276,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Turin
"POLYGON ((-84053.9678526012 5014390.726483936, -84090.75461534446 5013896.89669393, -84190.30936554435 5013904.312524736, -84200.20058113593 5013924.35738841, -84214.2389675118 5013936.998883897, -84324.44749773829 5014039.507358157, -84324.87155527377 5014039.904917563, -84332.97006539081 5014047.439964162, -84337.85073806765 5014059.899013739, -84345.27913625061 5014078.8439583145, -84346.18698600528 5014081.145754479, -84394.19060610957 5014203.399842585, -84411.90402478434 5014232.949543924, -84527.607657091 5014426.010722288, -84053.9678526012 5014390.726483936))",0,[],0.0226929999999999,Other,6,8,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Turin
"POLYGON ((-84090.75461534446 5013896.89669393, -84099.55153897009 5013778.800113768, -84102.0416080067 5013780.581835925, -84112.24533737847 5013788.982532013, -84156.72574081691 5013836.25432722, -84190.30936554435 5013904.312524736, -84090.75461534446 5013896.89669393))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Turin
"POLYGON ((-84047.92244785605 5014471.8770523975, -83911.75244334468 5014630.456506509, -83820.86474180722 5014735.8498816, -83668.60431479488 5014613.245350791, -83607.8030039171 5014564.294980592, -83546.7853706585 5014519.929687352, -83542.54071438138 5014516.54630001, -83554.68462825438 5014353.532177904, -84053.9678526012 5014390.726483936, -84047.92244785605 5014471.8770523975))",0,[],0.0226929999999999,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Turin
"POLYGON ((-83554.68462825438 5014353.532177904, -83591.4709130004 5013859.705225356, -84090.75461534446 5013896.89669393, -84053.9678526012 5014390.726483936, -83554.68462825438 5014353.532177904))",0,[],0.022692999999999904,Other,3,3,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Yes,{'unclassified'},1.0,30.0,Turin
"POLYGON ((-83591.4709130004 5013859.705225356, -83621.97595893603 5013450.170028932, -83684.22446092847 5013503.559185679, -83697.29946029803 5013514.777433315, -83745.43930264283 5013550.4739128705, -83762.02040953131 5013560.188993841, -83781.81362416642 5013569.180332413, -83793.63140902342 5013572.306902228, -83825.058062469 5013589.101893033, -83873.59071066172 5013620.433109021, -83927.03659053659 5013656.630932503, -83987.08739050664 5013697.436789003, -84001.41547842801 5013708.580761397, -84099.55153897009 5013778.800113768, -84090.75461534446 5013896.89669393, -83591.4709130004 5013859.705225356))",0,[],0.04356635714285706,Other,2,2,1.0,0,0,0,0,0,0,11,0,0,0,0,0,0,No,None,,,Turin
"POLYGON ((-83542.54071438138 5014516.54630001, -83440.95253056625 5014435.571116213, -83387.48421209457 5014389.841135803, -83386.04439361999 5014373.722759822, -83387.6977079357 5014341.421336736, -83387.52451656864 5014341.079577896, -83554.68462825438 5014353.532177904, -83542.54071438138 5014516.54630001))",0,[],0.022692999999999904,Other,5,5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Turin
"POLYGON ((-83387.52451656864 5014341.079577896, -83381.5942144905 5014329.377304073, -83354.67247158382 5014308.976700392, -83257.93681023084 5014233.155205497, -83194.52135121555 5014185.616336682, -83120.28816151305 5014131.247122263, -83083.03447507962 5014107.276596899, -83071.30593374977 5014102.874190371, -83092.19007957657 5013822.514239941, -83591.4709130004 5013859.705225356, -83554.68462825438 5014353.532177904, -83387.52451656864 5014341.079577896))",0,[],0.039391685714285626,Other,5,6,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,{'unclassified'},1.75,30.0,Turin
"POLYGON ((-83092.19007957657 5013822.514239941, -83128.97307999036 5013328.689652423, -83498.36035881529 5013356.202830751, -83615.10702882858 5013444.278704424, -83621.97595893603 5013450.170028932, -83591.4709130004 5013859.705225356, -83092.19007957657 5013822.514239941))",0,[],0.12010200000000001,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Turin
"POLYGON ((-83128.97307999036 5013328.689652423, -83150.24881839997 5013043.038038236, -83256.30839865655 5013142.2514014235, -83331.80391788704 5013211.366468092, -83376.55564650428 5013259.675386068, -83383.73859419697 5013267.427103266, -83481.52398827975 5013343.501173418, -83498.36035881529 5013356.202830751, -83128.97307999036 5013328.689652423))",0,[],0.120102,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Turin
