,location,gpsLat,gpsLong,polygon,EV_station_counts,population,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,cinema_count,commercial_count,government_count,civic_count,retail_count,landuse,oneway_exists,average_lanes,high_way,average_maxspeed,nodes,edges,density
0,Location 1,45.09934203,7.708654993,"POLYGON ((7.705473462320634 45.09708110066761, 7.705473462320634 45.101602959332396, 7.711836523679366 45.101602959332396, 7.711836523679366 45.09708110066761, 7.705473462320634 45.09708110066761))",1,3.739357193832599,0,0,0,0,0,0,6,0,1,0,1,0,0,1,commercial,yes,3,crossing,30.0,15,25,0.11904761904761904
1,Location 2,45.5584398861864,9.24029489212583,"POLYGON ((9.237087469141786 45.556178956854005, 9.237087469141786 45.56070081551879, 9.243502315109874 45.56070081551879, 9.243502315109874 45.556178956854005, 9.237087469141786 45.556178956854005))",1,0.11513487700534757,0,0,0,0,0,0,2,0,0,0,2,0,0,3,residential,yes,1,residential,60.303030303030305,39,52,0.03508771929824561
2,Location 3,45.5686020311218,9.36304684610199,"POLYGON ((9.35983884288598 45.566341101789405, 9.35983884288598 45.57086296045419, 9.366254849317999 45.57086296045419, 9.366254849317999 45.566341101789405, 9.35983884288598 45.566341101789405))",1,0.5713188834355828,0,0,2,0,0,0,13,0,0,0,1,0,0,4,commercial,yes,1,service,55.75757575757576,17,21,0.07720588235294118
3,Location 4,45.6277610515318,8.71249975733013,"POLYGON ((8.709288370108236 45.625500122199405, 8.709288370108236 45.63002198086419, 8.715711144552024 45.63002198086419, 8.715711144552024 45.625500122199405, 8.709288370108236 45.625500122199405))",1,0.0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,Other,yes,2,service,21.5,2,1,0.5
4,Location 5,41.9240785964876,12.516346882219,"POLYGON ((12.51332848853559 41.9218176671552, 12.51332848853559 41.92633952581999, 12.51936527590241 41.92633952581999, 12.51936527590241 41.9218176671552, 12.51332848853559 41.9218176671552))",1,11.409031113268608,2,0,2,2,0,0,3,0,14,0,0,0,0,0,residential,yes,1,footway,50.0,41,62,0.03780487804878049
5,Location 6,43.68321857,10.43437685,"POLYGON ((10.431271384357458 43.68095764066761, 10.431271384357458 43.685479499332395, 10.43748231564254 43.685479499332395, 10.43748231564254 43.68095764066761, 10.431271384357458 43.68095764066761))",1,0.15783585806451605,0,0,0,0,0,0,1,1,0,0,1,0,0,0,commercial,yes,2,unclassified,50.0,16,26,0.10833333333333334
6,Location 7,41.911629,12.4439452,"POLYGON ((12.440927395094137 41.909368070667604, 12.440927395094137 41.91388992933239, 12.446963004905863 41.91388992933239, 12.446963004905863 41.909368070667604, 12.440927395094137 41.909368070667604))",1,11.826641269624574,0,0,7,1,0,0,5,0,2,0,0,0,0,1,residential,yes,2,crossing,48.97435897435897,23,37,0.07312252964426877
7,Location 8,44.810031702133,10.286827741443,"POLYGON ((10.28366220995558 44.80777077280061, 10.28366220995558 44.8122926314654, 10.28999327293042 44.8122926314654, 10.28999327293042 44.80777077280061, 10.28366220995558 44.80777077280061))",1,0.8814905721649485,0,0,0,0,0,0,2,0,1,0,1,0,0,0,residential,yes,2,service,70.0,20,33,0.0868421052631579
8,Location 9,45.5118679373017,9.28048191263696,"POLYGON ((9.277277144817885 45.50960700796931, 9.277277144817885 45.514128866634096, 9.283686680456034 45.514128866634096, 9.283686680456034 45.50960700796931, 9.277277144817885 45.50960700796931))",1,10.436349859090909,0,0,1,0,0,0,4,0,1,0,0,0,0,3,residential,yes,1,service,46.875,24,43,0.07789855072463768
9,Location 10,44.8473232,11.5979132,"POLYGON ((11.594745619818367 44.845062270667604, 11.594745619818367 44.84958412933239, 11.601080780181634 44.84958412933239, 11.601080780181634 44.845062270667604, 11.594745619818367 44.845062270667604))",1,0.9678482935153583,0,0,3,0,0,0,23,0,3,0,0,0,0,0,Other,yes,3,service,50.0,22,40,0.08658008658008658
